年份,月份,地域,感染率,平均气温(℃),平均露点温度(℃),平均风速(mi/h),最低气温极值(℃),最高气温极值(℃),降水天数,降水量(mm),AQI,社会事件
2005,9,新    疆,0.0050,,,,,,,,,
2005,10,北京市,0.0260,,,,,,,,,
2005,10,天津市,0.2016,,,,,,,,,
2005,10,河北省,0.5492,,,,,,,,,
2005,10,山西省,0.0090,,,,,,,,,
2005,10,辽宁省,0.0071,,,,,,,,,
2005,10,吉林省,0.0037,,,,,,,,,
2005,10,黑龙江,0.0026,,,,,,,,,
2005,10,江苏省,0.0335,,,,,,,,,
2005,10,浙江省,0.4001,,,,,,,,,
2005,10,安徽省,0.1841,,,,,,,,,
2005,10,福建省,0.0285,,,,,,,,,
2005,10,江西省,0.0842,,,,,,,,,
2005,10,山东省,0.0065,,,,,,,,,
2005,10,河南省,0.1018,,,,,,,,,
2005,10,湖北省,0.1370,,,,,,,,,
2005,10,湖南省,0.0556,,,,,,,,,
2005,10,广东省,0.1073,,,,,,,,,
2005,10,广    西,0.6274,,,,,,,,,
2005,10,海南省,0.0487,,,,,,,,,
2005,10,重庆市,0.6417,,,,,,,,,
2005,10,四川省,0.1930,,,,,,,,,
2009,9,北京市,14.0118,20.36,13.58,4.45,8,30.11,8,26.92,84.76666667,1
2005,10,云南省,1.2254,,,,,,,,,
2005,10,西    藏,0.2189,,,,,,,,,
2005,10,陕西省,0.0486,,,,,,,,,
2005,10,甘肃省,0.1745,,,,,,,,,
2005,10,青海省,0.1859,,,,,,,,,
2005,10,宁    夏,0.3223,,,,,,,,,
2005,10,新    疆,0.6088,,,,,,,,,
2005,11,北京市,0.3189,,,,,,,,,
2005,11,天津市,0.2496,,,,,,,,,
2005,11,河北省,0.8312,,,,,,,,,
2005,11,山西省,0.0960,,,,,,,,,
2005,11,内蒙古,0.1179,,,,,,,,,
2005,11,辽宁省,0.0901,,,,,,,,,
2005,11,吉林省,0.0258,,,,,,,,,
2005,11,黑龙江,0.0367,,,,,,,,,
2005,11,江苏省,0.0536,,,,,,,,,
2005,11,浙江省,0.3652,,,,,,,,,
2005,11,安徽省,0.3683,,,,,,,,,
2005,11,福建省,0.0285,,,,,,,,,
2005,11,江西省,0.1075,,,,,,,,,
2005,11,山东省,0.0359,,,,,,,,,
2005,11,河南省,0.3654,,,,,,,,,
2005,11,湖北省,0.1177,,,,,,,,,
2005,11,湖南省,0.0636,,,,,,,,,
2005,11,广东省,0.4600,,,,,,,,,
2005,11,广    西,0.8070,,,,,,,,,
2005,11,海南省,0.0609,,,,,,,,,
2005,11,重庆市,1.9214,,,,,,,,,
2005,11,四川省,0.6802,,,,,,,,,
2013,1,北京市,6.2340,-5.23,-12.22,4.9,-17,5,3,4.06,125.9285714,0
2005,11,云南省,1.2662,,,,,,,,,
2005,11,西    藏,1.3863,,,,,,,,,
2005,11,陕西省,0.0864,,,,,,,,,
2005,11,甘肃省,0.7601,,,,,,,,,
2005,11,青海省,0.2045,,,,,,,,,
2005,11,宁    夏,1.1874,,,,,,,,,
2005,11,新    疆,2.9083,,,,,,,,,
2005,12,北京市,0.4101,,,,,,,,,
2005,12,天津市,0.3072,,,,,,,,,
2005,12,河北省,1.1484,,,,,,,,,
2005,12,山西省,0.0690,,,,,,,,,
2005,12,内蒙古,0.0632,,,,,,,,,
2005,12,吉林省,0.0517,,,,,,,,,
2005,12,黑龙江,0.0656,,,,,,,,,
2005,12,江苏省,0.6114,,,,,,,,,
2005,12,浙江省,0.5212,,,,,,,,,
2005,12,安徽省,0.1397,,,,,,,,,
2005,12,福建省,0.0512,,,,,,,,,
2005,12,江西省,0.1309,,,,,,,,,
2005,12,山东省,0.0163,,,,,,,,,
2005,12,河南省,0.1650,,,,,,,,,
2005,12,湖北省,0.1353,,,,,,,,,
2005,12,湖南省,0.0906,,,,,,,,,
2005,12,广东省,0.2300,,,,,,,,,
2005,12,广    西,0.2704,,,,,,,,,
2005,12,重庆市,0.5054,,,,,,,,,
2005,12,四川省,0.5777,,,,,,,,,
2005,12,贵州省,3.1140,,,,,,,,,
2005,12,云南省,0.0453,,,,,,,,,
2005,12,西    藏,0.3283,,,,,,,,,
2005,12,陕西省,0.2132,,,,,,,,,
2005,12,甘肃省,0.9230,,,,,,,,,
